artist,bio,listeners,playcount,similar_artist
Maite Perroni,"Maite Perroni Beorlegui is a Mexican singer and actress. She was born in March 9, 1983 in Mexico City, Distrito Federal. Maite gained international popularity as a member of the successful group RBD and her roles in telenovelas.

Maite Perroni was only eleven months old when she and her family moved to Guadalajara, the capital of the state of Jalisco in Mexico. Her father, Javier Perroni, was transferred to that city by his job, where the Perroni family lived for twelve years. Read more on Last.fm",80189,2042221,Dulce María
Omar Varela, Read more on Last.fm,37034,281398,Salastkbron
Alexio La Bruja, Read more on Last.fm,4920,33417,Hanzel La H
Kelly Ruíz, Read more on Last.fm,145,284,Santiago Cardona
Eladio Carrion,"Eladio Carrion (14 de noviembre de 1994) Cantante y personalidad de Internet. Nació en Kansas, Estados Unidos. Se le conoció en redes por sus vídeos cómicos. Antes de lanzarse como solista trabajo como compositor y colaborador de otros artistas. Algunos de sus éxitos pre-debut fueron 2×2 con Flowsito y No quiero más amigos nuevos con Rawenz. Finalmente debutó en 2017 con Me enamoré de una Yal, tema al que siguieron Si tú te vas, Mi Cubana y Ave María, entre otros. Read more on Last.fm",392931,34247760,Mora
YSY A,"Alejo Nahuel Acosta Migliarini, conocido artísticamente como Ysy A, es un rapero, compositor y productor argentino nacido el 12 de julio de 1998 en Buenos Aires. Pionero del trap en Argentina, es reconocido por su estilo innovador y su influencia en la escena urbana latinoamericana.

En 2012, con tan solo 13 años, fundó El Quinto Escalón, la competencia de freestyle más importante de Latinoamérica, junto a Muphasa. Este evento catapultó a Ysy A y a otros artistas como Duki y Neo Pistea a la fama. Read more on Last.fm",144286,21384551,Duki
KEVIN ROLDAN,"Ronny Kevin Roldán Velasco ​más conocido como Kevin Roldán, es un cantante de reguetón y trap latino colombiano.  Read more on Last.fm",165081,2306739,Ñejo
Marcianos Crew, Read more on Last.fm,16338,264438,Santoz
El Conejo,"There is more than one artist with this name, including: 
1) El Conejo is Brazilian musician Bruno Nunes Coelho. 
2) El Conejo is Colombian trombonist Alberto Barros. 

1) El Conejo is Brazilian musician Bruno Nunes Coelho. He has released a single entitled ""A Lullaby for Elisa"". 

2) El Conejo is Colombian trombonist Alberto Barros. Read more on Last.fm",1750,10113,Juseph
Mym, Read more on Last.fm,7859,52557,El Nene La amenaza
Major Lazer,"Major Lazer is a Jamaican-American electronic dance music and DJ trio, which includes record producer Diplo, and DJs Walshy Fire and Ape Drums. They originate from Kingston, Jamaica, founded in 2008 by Diplo and Switch, with Switch leaving after three years in 2011. He was then replaced by both Jillionaire and Walshy Fire. In June 2019, Jillionaire left the group and was replaced by Ape Drums. Its music spans numerous genres, mixing reggae with dancehall, reggaeton, soca, house and moombahton. Read more on Last.fm",2932099,68439370,Calvin Harris
Quavo,"Quavious Keyate Marshall (born April 2, 1991), known professionally as Quavo, is an American rapper and record producer, one third of Atlanta hip-hop group Migos alongside Takeoff and Offset.

Quavo’s individual career was initiated by a series of guest features for acclaimed hip-hop artists like Travis Scott, Young Thug, A$AP Ferg, Post Malone and DJ Khaled. On December 21, 2017 he released a collaboration album with Travis Scott called Huncho Jack, Jack Huncho. He released his debut solo album QUAVO HUNCHO on October 11, 2018. Read more on Last.fm",1254557,29950714,Migos
Los Del Rio,"Los del Río (Spanish for ""those from the river"", referring to the Guadalquivir or the Guadaira) is a Spanish music duo, consisting of Antonio Romero Monge and Rafael Ruiz.

They specialize in Andalusian folk music, specially ""sevillanas"", the most typical and light music of Andalusia. For a number of years, Los del Río were known for attending private ""jet-set"" parties at Marbella. However, in the summer of 1996, the duo enjoyed the success of their multi-platinum smash summer hit ""Macarena"" Read more on Last.fm",653450,2799910,Las Ketchup
"Tito ""El Bambino""","Efraín David Fines Nevares (born October 5, 1981), known professionally as Tito ""El Bambino"", is a Puerto Rican recording artist. He rose to fame as Tito of the duo Héctor & Tito.
In 2010 his song, ""El Amor"", written with Joan Ortiz Espada, was awarded Latin Song of the Year by the American Society of Composers, Authors and Publishers (ASCAP). He was awarded Songwriter of the Year at the 2011 ASCAP.

Musical Career

As Héctor & Tito

Tito and his partner released a number of hit songs in their native Puerto Rico Read more on Last.fm",260388,3107549,Wisin & Yandel
Princesa Alba,"Trinidad Valentina Riveros Inostroza, better known by her stage name Princesa Alba, is a Chilean singer and artist.

She gained recognition for her first single ""Mi Only One"", released on YouTube in 2017. In 2018 she released her Mixtape Del Cielo with productions by Gianluca, OSSA and with a collaboration with the French Lean Chihiro. 

In December 2018, she released her single ""Summer Love"" (in collaboration with Gianluca, and produced by Francisco Victoria) Read more on Last.fm",152178,3390176,Paloma Mami
El Completo Rd, Read more on Last.fm,24421,99526,Many Malon
Eloy,"Eloy is a progressive rock band from Germany, whose musical style includes symphonic and space rock, the latter being more prevalent on earlier albums. The band took their name from the Eloi, a futuristic race of people in the H.G. Wells novel The Time Machine.

Founded in 1969 by guitarist Frank Bornemann, the band has endured several line-up changes, with Bornemann being the only consistent member. In the 1980s, after a series of major splits in the group (which disbanded in 1984 and reformed in 1988) Read more on Last.fm",383879,5779394,Nektar
JHAYCO,"Jesús Manuel Nieves Cortez (born April 9, 1993), known professionally as Jhayco (formerly Jhay Cortez), is a Puerto Rican singer and rapper from Río Piedras, San Juan. After releasing multiple EPs, his debut studio album, Famouz, was released in 2019. The album contained features from J Balvin, Bad Bunny, Rafa Pabön, C. Tangana, Almighty, Tainy & Zion y Lennox. The album also contained his breakout songs No Me Conoce and No Me Conoce - Remix.
 Read more on Last.fm",435236,17236947,Mora
Pacho, Read more on Last.fm,1540,5593,Pacho El Antifeka
Elvis Crespo,"Elvis Crespo (born July 30, 1971 in New York City, U.S.A.) is a Grammy Award and Latin Grammy Winner Puerto Rican-American Merengue singer. He was named ""Elvis"" after American singer Elvis Presley. When he was young, he and his mother moved to Caguas, Puerto Rico, where Crespo spent his childhood and adolescent years.

Crespo first gained fame in the mid-90s when he joined Grupo Mania, in Puerto Rico. Eventually he decided to try to go solo in 1998. Read more on Last.fm",561530,4271594,Los Hermanos Rosario
Fernando Burbano, Read more on Last.fm,5629,62983,Luisito Muñoz
Darell,"One of the most sought-after artists from the latest wave of the Urban Latin movement, Puerto Rico native Darell emerged as both a sought-after composer in 2018, playing a definitive role in numerous hits and attracting a rapid fan base back home. Among many smashes, Nío García, Casper Mágico y Bad Bunny’s “Te Boté REMIX” [feat. Ozuna, Nicky Jam y Darell] stood out as one of the year’s most heard and streamed songs, spending 41 weeks on the Latin Airplay chart and peaking at #2. Read more on Last.fm",205715,2191835,Brytiago
El Kanka, Read more on Last.fm,57076,1262493,Muerdo
Elilluminari, Read more on Last.fm,42279,271499,Anthony Godfather
Miky Woodz,"Miguel Ángel Rivera Rodríguez, known as Miky Woodz, is a Puerto Rican Latin trap rapper born in Carolina, Puerto Rico. To date, Woodz has released two studio albums, Before Famous in 2017, and El OG in 2018, which were both commercial successes. Read more on Last.fm",70025,1187693,Bryant Myers
Galvan Real, Read more on Last.fm,8401,126430,Raul Camacho
Yaviah,"Javier Alexis Marcano Rodríguez es el nombre de quien es conocido como 'El Gato' BlackFather Yaviah. Yaviah sencillamente interpreta lo que vive. Esa es su pasión. Su estilo ha sido crear éxitos musicales uno tras otro de forma sostenida desde el año 1993. 

Su estrategia: participar en las producciones musicales de mayor venta en el Mercado y mantenerse al margen de la exposición negativa, factor que ha beneficiado su proyección como artista profesional Read more on Last.fm",21168,101096,Johnny Prez
rusowsky,"Rusowsky is the artistic alter ego behind which Ruslan Mediavilla hides, a young man from Madrid with Belarusian roots and classical musical training. He is one of the representatives of the new underground scene that is flourishing these days thanks to the ease of being able to record songs from home, without having large technological means. Read more on Last.fm",322125,13459269,Sen Senra
Leslie Grace,"Leslie Grace was born on January 7, 1995 in The Bronx, a borough of New York City. She was raised and attended school in Davie, Florida. Grace, born to Dominican parents, was entertaining her five older siblings and parents when she could barely speak, at the age of two. She speaks fluent English and Spanish. Her family gave her the confidence to trust in her talent and pursue success doing what she loves: writing and performing songs. She launched her professional career with her single Read more on Last.fm",118776,1517723,Toby Love
El Super Nuevo, Read more on Last.fm,35672,224619,Musicologo The Libro
Juan Magán,"Juan Manuel Magán González, también conocido como Magán, es un productor discográfico, remezclador, DJ, compositor, letrista y cantante español, nacionalizado dominicano Read more on Last.fm",222020,2470263,Don Omar
Sech,"Carlos Isaías Morales Williams (born December 3, 1993), better known as Sech, is a Panamanian singer. In April 2019 he released his album Sueños, reaching number three on the Billboard Top Latin Albums chart. In an interview with Billboard, Sech mentioned El General being an influence for his music. He first reached popularity with his song ""Miss Lonely"", in 2017. Read more on Last.fm",363533,7420247,Dalex
Pedro Calderon, Read more on Last.fm,6582,45630,el daddy
Los Hermanos Dalton, Read more on Last.fm,7415,59127,091
Revol, Read more on Last.fm,90366,851919,Trap Capos
Drake,"Aubrey ""Drake"" Graham (born October 24, 1986) is an Canadian rapper, singer, songwriter, record producer, actor, and businessman. Drake was an actor on the teen drama television series Degrassi: The Next Generation in the early 2000s. Intent on pursuing a career in music, he left the series in 2007 after releasing his debut mixtape, Room for Improvement. He released two further independent projects, Comeback Season and So Far Gone, before signing to Lil Wayne's Young Money Entertainment in June 2009. Read more on Last.fm",6647803,1128993735,PARTYNEXTDOOR
Mackie, Read more on Last.fm,21611,184460,Jossef
Costa,"There are at least 5 artists that use this nickname:

1) Konstantin Gerasimov - Electronic music producer from Kaliningrad, Russia
2) Costa - rapper from Spain
3) Costa - rapper from Sri Lanka
4) Costa - MPB and Folk singer from Brazil.
5) Costa - rapper from France Read more on Last.fm",40743,768929,Aurosonic
Fred De Palma,"Fred De Palma, the stage name of Federico Palana (Turin, 3 November 1989) is an Italian rapper.

Fred De Palma began his musical career in 2007 in Turin, with freestyling skills. Many freestyle contests in Turin and Milan put him in attention of the industry, and in 2010 he collaborated with Dirty C, creating the band Royal Rhymes, and started to experiment in the studio. At the beginning of 2010, the group signed a recording contract with the independent record label Trumen Records, and collaborated with producers Jahcool and Double H Groovy. Read more on Last.fm",100780,2089658,Rocco Hunt
Pharrell Williams,"Pharrell Williams (born April 5, 1973 in Virginia Beach, Virginia, United States), also known by his mononym Pharrell, is an American singer-songwriter, rapper, record producer, and fashion designer. Williams and Chad Hugo make up the record production duo the Neptunes, producing soul, hip hop and R&B music. He is also the lead vocalist and drummer of rock, funk, and hip hop band N*E*R*D, which he formed with Hugo and childhood friend Shay Haley. Read more on Last.fm",2699924,47689841,N*E*R*D
AC3, Read more on Last.fm,3724,20669,PXXR GANGG
Alexis y Fido," Known for their skillful wordplay and their comedic double entendres, reggaeton duo Alexis y Fido, affectionately known as ""Los Pitbulls,"" may be old dogs in the genre, but they have plenty of new tricks that will make audiences sit down and beg for more.

After wooing reggaeton fans with the smash single El Tiburon, featured on Luny Tunes' Mas Flow 2, the hardworking duo is now set to unleash its debut album The Pitbulls, which is promising to make the world bark to a new tune. Read more on Last.fm",275209,3189675,Wisin & Yandel
Antonio Cartagena, Read more on Last.fm,26330,230752,Los Titanes
Javiielo, Read more on Last.fm,50349,601240,Jossef
Pure Negga, Read more on Last.fm,46884,737435,Zona Ganjah
Cadenza,"There are multiple artists named Cadenza

1)
Cadenza Collective is a band from Kathmandu, Nepal, which plays a mix of jazz/funk/soul/Afrobeat. They can be seen live at Jazz Upstairs, Kathmandu, Nepal on Wednesdays and Saturdays from 8:00 pm to 10:00 pm. They also headline the annual Jazz Festival in Kathmandu.

Their official website is www.cadenza.com.np, you can listen to some tracks on this myspace page www.myspace.com/cadenzakath.

2)
Cadenza is a dubstep producer
----------------------------------------------------------

 Read more on Last.fm",74331,330372,Synth Girl
El Perla, Read more on Last.fm,9760,94109,JC El Diamante
Abraham Mateo,"Abraham Mateo (born in San Fernando (Cadiz), Spain on August 25, 1998) is a Spanish teen actor and pop singer. Abraham was discovered in 2009, when he was ten, by producers of the record label EMI Music Spain, who happened across Abraham's videos in Youtube and his multiple performances in the television show Menuda Noche on the Canal Sur TV of Andalucia, Spain. His self-titled debut album, Abraham Mateo, was released in Spain in December 2009. The album was produced by the spanish composer and producer Jacobo Calderon Read more on Last.fm",167547,2685266,Vicco
Ele A, Read more on Last.fm,20085,790149,saYf
Kiko Rodriguez,"Kiko Rodriguez, was born in Tamboril, Santiago de los Caballeros, Dominican Republic. From the age of 10 years, Kiko Rodriguez felt that the music, in this case the bachata or music of the bittered, touched the heart of him, which motivated the youngster to practice with percussion instruments, although after that he was interested in the guitar, that later accompanied him in his songs. 

He made his first presentation when he was 12 years of age, which opened the doors to which is today the successful carreer of Kiko Rodriguez. Read more on Last.fm",43506,228889,El Chaval
Feid,"Salomón Villada Hoyos, also known as Ferxxo or Feid, is a prominent Colombian singer and songwriter in urban music. Born on August 19, 1992, in Medellín, Colombia, he developed a passion for music from a young age and participated in music extension courses with his parents. Starting with the clarinet, he later shifted his focus to his voice and became a member of the University of Antioquia choir.

Since 2015, Feid has dedicated himself to singing and songwriting Read more on Last.fm",629672,57167195,Mora
Alex Gargolas, Read more on Last.fm,148447,1611452,Hector & Tito
Zion & Lennox,"Zion & Lennox are a reggaeton duo from Carolina, Puerto Rico; in late 2010 Zion & Lennox released their 3rd studio album titled Los Verdaderos under Pina Records.

They have been in the music business for a long time, but had failed to get any recognition for the majority of those years. They had minor hits such as ""Baila Conmigo"" for the 2003 compilation album ""Desafío"" and ""Me Pones Tensión"" for the album The Noise: La Biografía. These hits, along with others in the near future and increased radio play gave them more recognition. Read more on Last.fm",793437,8898584,Wisin & Yandel
La Factoria,"Panamanian R&B/hip-hop group La Factoría was created in 2000 by producer Pablo Maestre, better known as DJ Pablito. The group's debut disc was released in that year and entitled DJ Pablito Presenta La Factoria. Heavy radio support generated fan interest throughout the Spanish-speaking world, from Mexico to Colombia, Venezuela, their home nation of Panama, and other Caribbean nations such as Curazao and Aruba. The groups first album, La Factoria was released in 2003 and although Read more on Last.fm",263781,2231590,Tony Dize
Trap Capos,"Trap Capos fue un proyecto colectivo encabezado por Noriel desde 2016, considerado pionero del trap en español. Su primer álbum, Trap Capos: Season 1, reunió a figuras como Anuel AA, Almighty, Ñengo Flow, Bryant Myers, Bad Bunny, Miky Woodz, Brytiago, Gigolo y la Exce, e incluso colaboraciones con Maluma. De ese disco salió “Cuatro Babys”, tema que alcanzó cientos de millones de reproducciones y generó gran polémica por sus letras.

En 2018 lanzaron Trap Capos II Read more on Last.fm",101711,2544561,DJ Luian
Natos y Waor,"Dúo de rap madrileño. Cuentan con 8 trabajos a sus espaldas: ¨POR LA JETA¨ (2011), ""CATARSIS"" (2012), ""HIJOS DE LA RUINA"" (2012, ft Recycled J), ""CAJA NEGRA"" (2014), MARTES 13 (ganador del Premio MIN a mejor álbum de Hip Hop de 2015), ""HIJOS DE LA RUINA Vol. 2"" (2016, ft Recycled J), ""CICATRICES"" (2018) e ""HIJOS DE LA RUINA Vol. 3"" (2021, ft Recycled J, que es a día de hoy el disco de hip hop más reproducido en España el día de su lanzamiento en la historia de las plataformas digitales). Read more on Last.fm",52167,2772331,FERNANDOCOSTA
Alex Sensation, Read more on Last.fm,103960,695925,Gente de Zona
Jantony, Read more on Last.fm,10261,51035,Sinfonico
Ceky Viciny, Read more on Last.fm,34318,249313,Flow 28
R.K.M & Ken-Y,"Jose Nieves (R.K.M) and Kenny Vazquez (Ken-Y), both from Gurabo Puerto Rico, with only 2 years of experience, have turned into one of the most important duos in Reggaeton, far surpassing their competition. By the time they debuted in the compilation album ""Warriors 4"" most of the established duos in Puerto Rico were starting to break up (such as Héctor y Tito, Baby Rasta y Gringo and Karel y Voltio for example).

Their debut song was not a big hit but they were quickly compared to the more famous at the time Zion & Lennox Read more on Last.fm",140090,2241895,Wisin & Yandel
El Alfa,"Emmanuel Herrera Batista, known professionally as El Alfa, is a Dominican dembow recording artist, In 2015, after receiving criticism for insulting the founding fathers of the Dominican Republic in a music video, El Alfa was sentenced to 15 days of community service. The President of El Instituto Duartino, Cesar Romero called for the boycott and destruction of El Alfa's albums for having disrespected the founding fathers. Part of El Alfa's sentencing Read more on Last.fm",661167,15950397,Rochy RD
Bandaga, Read more on Last.fm,7372,61181,caMin
Yeison Jimenez,"Yeison Orlando Jiménez Galeano (Manzanares, Caldas, July 26, 1991 - Paipa, Boyacá, January 10, 2026) was a Colombian singer-songwriter and composer of the música popular genre. From a young age, he showed musical talent by winning local singing contests and was named King of Song for five years in his hometown.  Despite early hardships, including family separation, poverty, and working at Bogotá's Corabastos market as a teenager, he began composing Read more on Last.fm",26199,506650,Jessi Uribe
La Nueva Escuela, Read more on Last.fm,35422,488620,La Deskarga
Camin,"caMin (previosuly known as Hallowitch) is an all-female visual kei rock band from Nagoya, Japan. They formed in 2005. The band have been on a indenfite hiatus since 2013, Shinri and Kokoro have remianed active and both currently play in Spark.

Members:
Vocal: Saeco
Guitar: あさき (Asaki)
Bass: しんり (Shinri)
Drums: 心 (Kokoro)

Ex. members:
Guitar: Nagisa Read more on Last.fm",17106,279935,JC El Diamante
Rawayana,"Rawayana is a band formed in Caracas, Venezuela. Line up: BetoMonte (vocals, guitars). Tony (bass, chorus). Abeja. (guitars, chorus). Ro-ro. (drums, chorus). Toño (latin percussion). It's a mix of many genres like reggae, rock and acoustic. And make all the people dance to their music. It's made with love and for everybody! Read more on Last.fm",142930,4573387,Los Mesoneros
Randy Nota Loca, Read more on Last.fm,40965,224793,Magnate
Kasher Quon,"Marquon Fulton, known professionally as Kasher Quon, is a rapper from Detroit, Michigan. His rise to popularity in late 2019 followed his lively and hard-hitting contributions within the then-burgeoning scam rap genre, particularly alongside former collaborator Teejayx6.

As of May 2022, he no longer drinks lean. Read more on Last.fm",35333,692274,Teejayx6
Alexis,"There are at least six artists called alexis.

1) alexis

German-Danish artist. The music can be describet as IDM, Downbeat or Chillout with Breakbeat-elements - sometimes it makes you happy sometimes very sad. It can you make feeling in love or it could also make you feel stupid.

For more informations about and free downloads from this german guy, please visit the official myspace-Site www.myspace.com/lxsmusic.

2) Alexis, Chanson-Singer

3) Alexis, aka Elena Ferretti Read more on Last.fm",20577,131379,Robert Patton
Dímelo Flow,"Jorge Valdés Vázquez, más conocido como DJ Flow o Dímelo Flow, es un DJ y productor panameño afincado en Estados Unidos.​ Read more on Last.fm",98728,957736,Dimelo Flow
Soto Asa,"Álvaro Soto (Ceuta, España,1 de abril de 1993), más conocido como Soto Asa, es un cantante y compositor de música urbana y reggaetón. Un símbolo que le representa es el 999. Esto se debe a que es el número del diablo (666) invertido. Tiene la teoría de que se puede ser malo pero inteligente, hay que darle la vuelta a la maldad, ya que no solo destruye.​ El ceutí es un músico que huye de etiquetas, no firma con publicidad ni moda para sacarse beneficio, ni da titulares que llamen mucho la atención para conseguir audiencia.  Read more on Last.fm",70015,4006465,La Mafia del Amor
Trueno,"Mateo Palacios Corazzina, better known as Trueno, is an Argentine rapper and freestyler, originally from the La Boca neighborhood in Buenos Aires. He is known for his outstanding participation in rap battles, winning contests such as FMS Argentina and Red Bull Batalla De Los Gallos in 2019.

His debut album, Atrevido was released on July 23, 2020 through NEUEN and distributed by Sony Music Latin. The album features the collaborations of artists such as Alemán, Wos, Nicki Nicole and Bizarrap. Read more on Last.fm",348971,18781930,Milo j
Bujan, Read more on Last.fm,158,353,Yosu Álvarez
Unorthodocks, Read more on Last.fm,535,2126,Bane Capital
El Combo Perfecto, Read more on Last.fm,4152,25877,La Mafia del Amor x El Combo Perfecto
Santana the Golden Boy, Read more on Last.fm,8700,78966,Tony Brouzee
Famous,"There is more than one artist of this name.

1. famous was an experimental dance-punk band fronted by singer Jack Merrett that existed from 2016 to 2025. 
 
2. San Antonio, Texas Rapper Signed To Chamillitary Ent. Formerly Of 3rd Degree (Famous, Mark G, Liveola & Kyle Lee).

3. Toronto emcee rapper FAMOUS.

4. Australian rock band.
        Although starting later than most of the other Australian post-punk bands, their members included many people who had been in earlier bands plus the next wave of fan-musicians from Newcastle NSW. Read more on Last.fm",55541,681250,Do Nothing
Yiyo Sarante, Read more on Last.fm,58810,599665,Frank Reyes
Mala Rodríguez,"Artist page: La Mala Rodriguez

María Rodríguez, also known as La Mala, La Mala María, or Mala Rodríguez, is a Spanish hip hop singer. She was born in Jerez de la Frontera,(Cádiz), 13 February 1979. She moved to Seville when she was 4 and to Madrid when she was 19.

Her hip-hop songs are greatly influenced by flamenco music. Some of her lyrics talk about feminism and the problems of the outcasts of society, but in general they are rather abstract. Read more on Last.fm",115799,1803207,Ana Tijoux
Austin Mahone,"Austin Carter Mahone (born April 4, 1996) is an American singer and songwriter. Austin Mahone may have discovered music the old-fashioned way, but his rise to stardom has been undeniably cutting-edge. Begging his mom for a drum set at 6 years-old, he caught the proverbial ""bug"" after roaming around a local La Vernia, TX music store. Luckily, the drums ended up under the Christmas tree that year. Fast forward to 2010, Mahone started uploading covers of everyone from Drake and Justin Bieber to Ne-Yo and Bruno Mars to his YouTube page Read more on Last.fm",501724,10802960,Abraham Mateo
Celia Cruz,"Celia Cruz (born as Úrsula Hilaria Celia de la Caridad Cruz Alfonso in La Habana, Cuba on 21 October 1925 – died 16 July 2003) was a Cuban-American and was one of the most successful salsa performers of the 20th century, having earned twenty-three gold albums. She was renowned internationally as the ""Queen of Salsa"" as well as ""La Guarachera de Cuba.

In 1950, Cruz made her first major breakthrough, after the lead singer of the La Sonora Matancera, a renowned Cuban orchestra, left the group and Cruz was called to fill in. Read more on Last.fm",571228,4879777,Marc Anthony
The Secret Panda, Read more on Last.fm,9511,66432,Santana the Golden Boy
Christian Nodal,"Christian Nodal (born January 11, 1999, Caborca, Sonora) is a Mexican singer and songwriter known for his contributions to the regional Mexican music scene. From a young age, Nodal displayed a natural affinity for music, owing to his familial background of musicians and singers. His early musical journey began at the tender age of 4 when he discovered his passion for singing. By the age of 9, he had already ventured into playing the trumpet, demonstrating his burgeoning talent. Read more on Last.fm",280388,9179760,Pepe Aguilar
Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists. Read more on Last.fm",800611,10869579,Nicky Jam
Demi Lovato,"Demetria Devonne Lovato, known professionally as Demi Lovato, is an American singer, songwriter, and actress. After appearing on the children's television series Barney & Friends (2002–2004), Lovato rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010). The former film's soundtrack contained ""This Is Me,"" Lovato's debut single and duet with Joe Jonas, which peaked at number nine on the Billboard Hot 100. Read more on Last.fm",3335891,196763910,Demi Lovato & Joe Jonas
Keko Musik, Read more on Last.fm,894,2934,NAYHLO
KEVVO,"Kevin Manuel Rivera Allende, conocido profesionalmente como Kevvo, es un cantante puertorriqueño Reggaeton y Trap Latino​ que llegó a la fama con su canción 105F, que incluía un remix con múltiples artistas notables de reggaeton como Ñengo Flow, Myke Towers, Darell, Chencho de Plan B, Arcángel, Farruko y Brytiago.​ Read more on Last.fm",61638,604300,Miky Woodz
Taxi,"There are several artists known as Taxi:

1. Taxi (Gibraltar) Born from the ashes of Gibraltar based Melon Diesel,Taxi was born in 2004 formed by Dylan Ferro(Vocals),Dani Fa (Guitars) and Danny Bugeja (Guitars). Having sold more than a quarter of a million copies in their musical career, Taxi are currently promoting their new album ""MIRANDO ATRAS"",a collection of their greatest hits including 2 new songs and a cover version of Gun..s ""Better Days"" due 9th September. Their album ""Aqui y Ahora""got a Latin Grammy nomination. See www.taxi.com.es Read more on Last.fm",100988,980943,Cargo
Kendo Kaponi, Read more on Last.fm,25561,378256,Cosculluela
Lenny Tavárez,"Julio Manuel González Tavárez (Puerto Rico, 19 de mayo de 1987), más conocido por su nombre artístico como Lenny Tavárez es un cantante puertorriqueño de reggaeton y trap latino. Anteriormente fue parte del dúo musical Dyland & Lenny. Read more on Last.fm",117429,1424583,Justin Quiles
Mr Eazi,"Oluwatosin Ajibade (born 19 July 1991), better known by his stage name Mr Eazi, is a Nigerian singer, songwriter, and entrepreneur. He is the pioneer of Banku music, a fusion sound he describes as a mixture of Ghanaian highlife and Nigerian chord progressions and patterns. Mr Eazi relocated to Kumasi in 2008 and enrolled at KNUST, where he began booking artists to perform at college parties. He showed interest in music after recording a guest verse on ""My Life"", a song that gained traction and became a popular record at KNUST. Read more on Last.fm",149127,1583548,Patoranking
Alexio La Bestia, Read more on Last.fm,160,1299,Juanka El Problematik
Rvssian,"Tarik Johnson, commonly known as Rvssian and previously as RUSSIAN, is a Jamaican music producer, singer and entrepreneur. Rvssian, is the founder of Head Concussion Records, a music production company situated in Kingston, Jamaica. Read more on Last.fm",524721,6842186,Sky Rompiendo
Homer El Mero Mero,"Lucas Darío Giménez (Born in June 5, 1990) better known by ""Homer El Mero Mero"", is an Argentine singer, rapper and occasional actor, recognized for his collaboration with the band Bardero$ together with C.R.O and for his solo career, in genres like rap, RKT and boom bap. He is part of the artist collective known as MDBCrew, along with C.R.O, Franky Style, Lil Troca and Chulu.

Homer el Mero Mero, is one of the most respected rappers in the scene. Read more on Last.fm",38803,1267266,Bardero$
Mathew, Read more on Last.fm,2193,8630,Espano
DJ Pablito, Read more on Last.fm,49669,260804,Pipe Calderón
Chimbala, Read more on Last.fm,93739,858096,Bulin 47
Messiah,"There are several artists named Messiah.
1) Messiah is a Swiss death/thrash metal band, formed in 1984.
3) Messiah is a Lithuanian hip-hop band. Ream more at MC Messiah.
4) Messiah was a death/thrash metal band from Argentina.
5) Messiah was a rapper from the 1990s.
6) Messiah was an American power/epic heavy metal band during the 80's.
7) Messiah was a punk band from New Delhi, India. Formed in late 90s, they released an album called ""The Antidote"" . Read more on Last.fm",64968,788582,Protector
Pipe Bueno, Read more on Last.fm,29856,324008,Jessi Uribe
Sanluis, Read more on Last.fm,15091,107052,Voz Veis
DJ Yayo, Read more on Last.fm,15967,96385,Commanche
Nacho,"There are two artists with the name nacho.

1. Nacho, a breakcore producer, known for a distinctive blend of emotionally charged, glitchy, and atmospheric compositions. They typically incorporate elements of IDM, ambient, and hyperpop. The artist's identity remains largely anonymous, with limited public information available.

2. Nacho, full name Miguel Ignacio Mendoza Donatti, was born on August 22, 1983, in Lechería, Venezuela. Nacho's music is known for its catchy melodies, rhythmic beats, and romantic themes. Read more on Last.fm",148889,1265973,YEM
Le Magic, Read more on Last.fm,3860,19703,Zyron
Alvaro Diaz,"Jorge Álvaro Díaz Conocido como Álvaro Díaz y nacido en la isla de San Juan, Puerto Rico; es un joven publicista y rapero de 29 años de edad.

Comenzando desde chico su gusto por el Hip-Hop (el Rap en específico) Álvaro comienza su introducción a este género improvisando en pistas y grabando desde tiempo atrás. Casi 10 años tuvieron que pasar para que el joven rapero viera plasmado su trabajo en la calle, menos de 3 años activo con el proyecto y la música de Álvaro Díaz ya ha logrado posicionarse dentro del mercado latino Read more on Last.fm",252906,24988851,Mora
Beéle,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros. Read more on Last.fm",216270,4974646,Kapo
